               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079637,            0.045156,            0.054002,             0.72006,             0.15261,             0.11969,            0.040113,            0.052566,             0.02567,            0.039783,            0.070303,           0.0032997,           0.0032997
                   1,            0.061682,            0.029913,            0.041771,             0.95319,             0.10331,             0.22108,            0.096761,            0.057354,            0.013435,            0.033801,            0.040237,           0.0065673,           0.0065673
                   2,            0.058817,            0.024326,            0.036769,             0.81308,             0.29176,             0.32091,             0.15276,            0.041494,            0.012236,            0.033126,            0.010106,            0.009769,            0.009769
                   3,             0.05275,            0.020669,            0.033951,             0.60953,             0.49505,             0.34952,             0.16032,            0.042003,            0.010581,            0.027336,            0.009703,            0.009703,            0.009703
                   4,            0.042883,            0.019044,            0.030816,              0.5548,             0.53868,              0.3576,             0.23639,             0.03488,           0.0099822,            0.024073,            0.009703,            0.009703,            0.009703
                   5,            0.038188,            0.017358,            0.028129,               0.548,             0.61308,             0.58418,             0.38621,            0.023702,           0.0096604,            0.021354,            0.009604,            0.009604,            0.009604
                   6,            0.035502,            0.016323,            0.024351,             0.83208,             0.55324,             0.65658,             0.43394,             0.02491,           0.0089729,             0.01978,            0.009505,            0.009505,            0.009505
                   7,            0.033107,            0.016017,            0.021032,             0.88351,             0.64267,             0.72419,             0.42767,            0.025645,           0.0089965,            0.015983,            0.009406,            0.009406,            0.009406
                   8,            0.031494,            0.015425,            0.018528,             0.84707,             0.71221,             0.73159,             0.51351,            0.025015,           0.0087643,            0.012814,            0.009307,            0.009307,            0.009307
                   9,            0.030019,            0.015363,            0.015968,             0.80599,             0.72244,             0.76215,             0.55546,             0.02019,           0.0084976,            0.012715,            0.009208,            0.009208,            0.009208
                  10,            0.028226,            0.014681,             0.01465,             0.83608,             0.72693,             0.81587,             0.60305,            0.018487,           0.0082119,            0.012352,            0.009109,            0.009109,            0.009109
                  11,            0.027728,            0.014437,            0.013722,             0.83262,             0.75329,             0.89808,             0.63171,            0.022554,           0.0090076,            0.012075,             0.00901,             0.00901,             0.00901
                  12,            0.026924,            0.014553,            0.012742,             0.89689,             0.78409,              0.8736,             0.66237,            0.018468,           0.0083471,              0.0112,            0.008911,            0.008911,            0.008911
                  13,             0.02604,            0.014138,            0.012436,             0.83427,             0.76355,             0.80817,             0.62865,            0.017135,           0.0080362,            0.011975,            0.008812,            0.008812,            0.008812
                  14,            0.026001,            0.014468,            0.011866,             0.87674,             0.79964,             0.88042,              0.6773,            0.017926,           0.0080412,            0.011699,            0.008713,            0.008713,            0.008713
                  15,            0.024915,             0.01398,            0.011471,              0.8603,             0.77805,               0.857,             0.65625,             0.02009,           0.0080945,            0.011566,            0.008614,            0.008614,            0.008614
                  16,             0.02341,             0.01415,            0.010332,              0.7679,             0.86372,             0.91287,             0.68617,            0.017312,           0.0079736,            0.011329,            0.008515,            0.008515,            0.008515
                  17,            0.023402,            0.013279,            0.010045,             0.80382,             0.84085,             0.86815,             0.68375,            0.015676,           0.0075392,            0.012465,            0.008416,            0.008416,            0.008416
                  18,            0.023574,            0.013731,           0.0091108,              0.8274,             0.81483,             0.85162,             0.70602,            0.015303,           0.0075654,            0.010292,            0.008317,            0.008317,            0.008317
                  19,            0.021969,            0.013565,           0.0095977,             0.80467,             0.85127,             0.88201,             0.67061,             0.01873,           0.0082387,            0.014251,            0.008218,            0.008218,            0.008218
                  20,            0.022866,            0.013332,           0.0089116,             0.84245,             0.87301,             0.89426,             0.72701,            0.015004,            0.007338,            0.011675,            0.008119,            0.008119,            0.008119
                  21,             0.02322,            0.013814,           0.0081135,             0.85829,             0.87631,             0.90076,             0.69984,            0.019165,           0.0076545,            0.010289,             0.00802,             0.00802,             0.00802
                  22,            0.022611,            0.012829,           0.0079859,             0.91516,             0.84138,              0.8976,             0.73305,            0.015407,           0.0079318,            0.012872,            0.007921,            0.007921,            0.007921
                  23,            0.022384,            0.013938,           0.0075137,             0.93168,              0.8085,             0.86087,             0.66444,            0.017082,           0.0079161,            0.013985,            0.007822,            0.007822,            0.007822
                  24,             0.02148,            0.012948,           0.0082284,             0.87602,             0.84038,             0.85541,             0.67213,            0.016708,           0.0078792,            0.013629,            0.007723,            0.007723,            0.007723
                  25,            0.021623,            0.012972,           0.0066381,              0.8556,              0.8644,             0.88499,             0.69406,            0.015826,           0.0075263,           0.0099553,            0.007624,            0.007624,            0.007624
                  26,            0.020869,            0.013262,           0.0065011,             0.93827,             0.85079,             0.91023,             0.71732,            0.016801,           0.0076127,            0.011715,            0.007525,            0.007525,            0.007525
                  27,            0.021172,            0.012719,           0.0070005,             0.82926,             0.90428,             0.89539,             0.72926,            0.015941,            0.007555,            0.011674,            0.007426,            0.007426,            0.007426
                  28,            0.020551,            0.012441,           0.0064288,             0.90262,             0.85684,             0.89681,             0.71189,            0.016817,           0.0076595,            0.011711,            0.007327,            0.007327,            0.007327
                  29,            0.019936,            0.012865,           0.0065101,             0.83129,             0.89092,             0.88238,             0.70382,            0.014352,           0.0073009,            0.012106,            0.007228,            0.007228,            0.007228
                  30,            0.019428,            0.012186,           0.0057547,             0.89646,             0.88773,             0.90751,             0.75066,            0.015012,           0.0071766,           0.0093808,            0.007129,            0.007129,            0.007129
                  31,            0.019713,            0.012221,           0.0064049,             0.86295,             0.90978,             0.90342,             0.76123,            0.013658,            0.006937,            0.011489,             0.00703,             0.00703,             0.00703
                  32,             0.01876,            0.012382,           0.0061914,             0.85481,             0.88871,             0.92916,             0.77063,            0.014621,           0.0070022,            0.009397,            0.006931,            0.006931,            0.006931
                  33,            0.019077,            0.011968,           0.0061362,              0.9066,             0.88997,             0.92112,             0.75597,            0.013958,           0.0069919,           0.0082168,            0.006832,            0.006832,            0.006832
                  34,            0.018399,            0.012494,           0.0058989,             0.92036,              0.8711,              0.8962,             0.76111,            0.014522,           0.0067417,           0.0089532,            0.006733,            0.006733,            0.006733
                  35,             0.01832,            0.012277,           0.0055004,             0.84916,             0.89607,              0.8831,             0.74875,            0.014932,           0.0071303,            0.010301,            0.006634,            0.006634,            0.006634
                  36,            0.018784,            0.012031,           0.0056767,             0.82298,             0.84885,             0.85912,              0.7413,             0.01362,           0.0069624,            0.013519,            0.006535,            0.006535,            0.006535
                  37,            0.018095,             0.01169,           0.0053361,              0.8933,             0.87228,             0.90165,             0.76801,            0.012783,           0.0067485,            0.011955,            0.006436,            0.006436,            0.006436
                  38,             0.01835,            0.012244,           0.0051394,             0.89772,             0.86759,             0.89591,              0.7385,            0.013599,           0.0069252,             0.01364,            0.006337,            0.006337,            0.006337
                  39,            0.017674,            0.011987,           0.0054591,             0.80861,             0.87495,             0.86419,             0.74113,            0.012716,            0.006541,            0.014064,            0.006238,            0.006238,            0.006238
                  40,            0.017284,            0.011435,           0.0041305,             0.87206,             0.86883,              0.8958,             0.77875,            0.011776,           0.0063547,             0.01208,            0.006139,            0.006139,            0.006139
                  41,            0.017344,            0.011308,           0.0046717,             0.87759,             0.91042,             0.91925,             0.79266,            0.012992,           0.0068057,            0.011398,             0.00604,             0.00604,             0.00604
                  42,            0.017227,            0.011387,           0.0050286,             0.84936,             0.90992,             0.89603,             0.76888,            0.011853,           0.0066962,            0.012462,            0.005941,            0.005941,            0.005941
                  43,             0.01687,             0.01133,            0.004494,             0.88805,             0.89296,             0.92506,             0.79918,            0.012795,           0.0067305,            0.011812,            0.005842,            0.005842,            0.005842
                  44,            0.016436,            0.011431,           0.0051977,             0.91908,             0.92786,             0.92382,             0.81749,            0.011099,           0.0065922,           0.0093838,            0.005743,            0.005743,            0.005743
                  45,            0.016127,            0.010941,           0.0050254,             0.83856,             0.91505,             0.91029,              0.7993,            0.011287,           0.0065792,            0.013149,            0.005644,            0.005644,            0.005644
                  46,            0.016332,            0.010853,           0.0049554,             0.88553,             0.86241,             0.90659,             0.79135,            0.011542,           0.0067337,            0.013018,            0.005545,            0.005545,            0.005545
                  47,            0.015939,            0.010809,           0.0050177,             0.87334,              0.8463,              0.8559,             0.74589,            0.011988,           0.0065943,            0.015309,            0.005446,            0.005446,            0.005446
                  48,            0.015739,            0.010893,           0.0049277,             0.85269,             0.88363,             0.87884,             0.75209,            0.011816,           0.0065965,            0.014214,            0.005347,            0.005347,            0.005347
                  49,            0.016318,            0.010891,           0.0050438,             0.90314,             0.84971,             0.87226,             0.75909,            0.010967,           0.0063785,            0.014651,            0.005248,            0.005248,            0.005248
                  50,            0.015523,            0.010555,           0.0045347,             0.89346,             0.85392,             0.89655,             0.77331,            0.012451,           0.0064191,            0.015655,            0.005149,            0.005149,            0.005149
                  51,            0.015891,            0.011291,           0.0046171,             0.92905,             0.88415,             0.92337,             0.80218,            0.011461,           0.0063741,            0.011248,             0.00505,             0.00505,             0.00505
                  52,            0.015378,            0.010985,           0.0042171,             0.88082,             0.89556,             0.91808,             0.79665,             0.01182,           0.0063667,            0.011284,            0.004951,            0.004951,            0.004951
                  53,            0.015232,             0.01085,           0.0037877,             0.88336,             0.91657,              0.9167,             0.79727,            0.011182,           0.0064975,           0.0098228,            0.004852,            0.004852,            0.004852
                  54,            0.015218,            0.010403,           0.0045958,             0.86158,             0.89048,             0.90923,             0.78829,            0.011059,           0.0062327,            0.013479,            0.004753,            0.004753,            0.004753
                  55,            0.015114,            0.010473,           0.0037264,             0.83214,             0.86816,             0.88329,             0.77483,            0.011346,           0.0065282,            0.013892,            0.004654,            0.004654,            0.004654
                  56,            0.014903,            0.010195,           0.0038782,              0.8783,              0.8638,             0.88638,             0.77395,            0.010709,           0.0063014,            0.014846,            0.004555,            0.004555,            0.004555
                  57,            0.014938,            0.010639,            0.003686,             0.85776,             0.85873,             0.87833,             0.76796,            0.011216,            0.006403,            0.014731,            0.004456,            0.004456,            0.004456
                  58,            0.014441,            0.010143,           0.0033476,             0.87023,             0.83092,             0.85721,             0.75168,            0.011378,           0.0065392,            0.016593,            0.004357,            0.004357,            0.004357
                  59,            0.014153,            0.010538,           0.0034659,             0.84132,             0.88435,              0.8914,             0.78355,            0.011004,            0.006646,             0.01409,            0.004258,            0.004258,            0.004258
                  60,            0.014112,           0.0099588,           0.0031937,             0.84975,             0.93193,             0.92142,             0.81243,            0.010063,           0.0060889,            0.012409,            0.004159,            0.004159,            0.004159
                  61,            0.013931,           0.0098958,           0.0034656,             0.89923,             0.89338,               0.919,             0.81736,            0.010613,           0.0061632,           0.0089065,             0.00406,             0.00406,             0.00406
                  62,            0.013839,           0.0098198,           0.0031449,             0.85941,             0.86113,             0.89214,             0.78714,            0.010636,           0.0063491,            0.010156,            0.003961,            0.003961,            0.003961
                  63,            0.013535,            0.010199,           0.0029208,             0.87376,             0.86037,              0.8913,             0.80968,            0.010504,            0.006178,            0.010604,            0.003862,            0.003862,            0.003862
                  64,            0.013371,           0.0097089,           0.0028371,             0.82756,             0.89328,             0.89087,             0.78726,            0.010801,           0.0063466,            0.014916,            0.003763,            0.003763,            0.003763
                  65,            0.013047,           0.0097159,           0.0033571,             0.85777,             0.86584,             0.88752,             0.79162,           0.0098612,           0.0064342,             0.01202,            0.003664,            0.003664,            0.003664
                  66,             0.01316,           0.0098601,           0.0032054,             0.84835,             0.86506,             0.88617,             0.78874,            0.010273,            0.006588,            0.012993,            0.003565,            0.003565,            0.003565
                  67,            0.012901,           0.0096135,           0.0034435,             0.82654,             0.89377,             0.88429,             0.77497,            0.010145,           0.0063514,            0.014163,            0.003466,            0.003466,            0.003466
                  68,            0.012879,           0.0096746,           0.0030713,             0.87089,             0.88549,             0.89448,             0.77951,            0.010444,           0.0064019,            0.012942,            0.003367,            0.003367,            0.003367
                  69,            0.012666,            0.009673,           0.0034397,             0.86006,             0.88075,             0.89807,             0.79044,            0.010428,           0.0063393,            0.015532,            0.003268,            0.003268,            0.003268
                  70,            0.012508,           0.0096536,           0.0029723,              0.8654,             0.89134,             0.90032,             0.81045,           0.0097949,           0.0061317,            0.014564,            0.003169,            0.003169,            0.003169
                  71,            0.012312,           0.0096185,           0.0030367,             0.91376,             0.86355,             0.90857,             0.82505,           0.0097572,           0.0060892,            0.012415,             0.00307,             0.00307,             0.00307
                  72,            0.012602,           0.0092265,           0.0029658,             0.87282,             0.89186,             0.89761,             0.80055,              0.0101,           0.0063304,            0.009862,            0.002971,            0.002971,            0.002971
                  73,            0.012234,           0.0092095,           0.0030833,             0.92739,             0.86025,             0.87936,               0.798,           0.0096641,           0.0062303,            0.013792,            0.002872,            0.002872,            0.002872
                  74,            0.011868,           0.0088999,            0.002426,             0.92801,             0.86664,             0.89221,             0.80436,           0.0096067,           0.0062319,            0.013561,            0.002773,            0.002773,            0.002773
                  75,            0.011518,             0.00898,           0.0028496,             0.89018,             0.86875,             0.88927,             0.79486,           0.0098186,           0.0062146,            0.013439,            0.002674,            0.002674,            0.002674
                  76,            0.011663,           0.0091387,           0.0026556,             0.90335,             0.85818,             0.87925,              0.7966,           0.0094476,           0.0062049,             0.01311,            0.002575,            0.002575,            0.002575
                  77,            0.011066,           0.0088064,           0.0026329,             0.89943,             0.86281,             0.90306,             0.80559,            0.009567,           0.0062074,            0.012153,            0.002476,            0.002476,            0.002476
                  78,            0.011408,           0.0090467,           0.0025937,             0.90271,              0.8571,             0.90403,             0.82222,           0.0093403,           0.0064169,            0.010406,            0.002377,            0.002377,            0.002377
                  79,            0.011354,            0.008822,           0.0024367,             0.87379,             0.91836,             0.91318,             0.82259,           0.0093853,           0.0063731,            0.010394,            0.002278,            0.002278,            0.002278
                  80,            0.011033,           0.0087135,           0.0022798,             0.90687,             0.85939,             0.90514,             0.81778,           0.0094642,           0.0063141,            0.010948,            0.002179,            0.002179,            0.002179
                  81,            0.011091,           0.0085411,           0.0025206,             0.86355,             0.90501,             0.91118,             0.82323,            0.009457,           0.0062313,            0.011356,             0.00208,             0.00208,             0.00208
                  82,            0.010675,           0.0084677,           0.0024959,             0.83598,              0.8876,             0.90004,             0.81208,           0.0093934,           0.0062297,            0.010953,            0.001981,            0.001981,            0.001981
                  83,            0.010491,           0.0084812,           0.0021132,             0.87486,              0.9038,             0.91415,             0.82056,           0.0098579,           0.0062808,            0.008988,            0.001882,            0.001882,            0.001882
                  84,            0.010461,           0.0083076,           0.0021413,             0.88671,              0.8805,             0.90435,             0.80251,           0.0092923,           0.0061982,             0.01131,            0.001783,            0.001783,            0.001783
                  85,            0.010074,           0.0080827,           0.0024039,             0.87958,             0.85909,             0.89221,             0.79365,           0.0091855,           0.0061444,            0.015031,            0.001684,            0.001684,            0.001684
                  86,            0.010217,           0.0083207,            0.002082,             0.88029,             0.85599,             0.89167,             0.79768,           0.0092032,           0.0061133,            0.015761,            0.001585,            0.001585,            0.001585
                  87,           0.0099389,           0.0084573,           0.0021773,              0.8544,             0.85313,             0.89438,             0.80702,           0.0091384,           0.0060973,            0.013984,            0.001486,            0.001486,            0.001486
                  88,           0.0097158,           0.0080105,           0.0020595,             0.85883,             0.87929,             0.89338,             0.80333,           0.0090955,           0.0060639,            0.013379,            0.001387,            0.001387,            0.001387
                  89,           0.0098985,           0.0084937,           0.0018104,             0.85787,             0.88617,             0.89361,             0.80463,           0.0091669,            0.006062,            0.013927,            0.001288,            0.001288,            0.001288
                  90,           0.0094785,           0.0079665,           0.0017578,             0.86133,             0.89521,             0.89871,             0.81111,           0.0090985,           0.0060204,              0.0143,            0.001189,            0.001189,            0.001189
                  91,           0.0094476,           0.0082533,           0.0019553,             0.87284,             0.88388,             0.90384,             0.81629,           0.0088699,           0.0060231,            0.014587,             0.00109,             0.00109,             0.00109
                  92,           0.0091637,           0.0077781,           0.0016538,             0.87296,             0.88122,              0.9016,             0.81373,           0.0090352,           0.0061525,            0.013028,            0.000991,            0.000991,            0.000991
                  93,           0.0093647,           0.0079001,           0.0016139,             0.85597,             0.91383,             0.90574,             0.82635,           0.0088429,           0.0061061,            0.012493,            0.000892,            0.000892,            0.000892
                  94,           0.0088806,           0.0079849,           0.0019956,             0.87764,             0.90991,              0.9044,             0.81813,           0.0088707,           0.0061682,            0.011514,            0.000793,            0.000793,            0.000793
                  95,           0.0087217,           0.0076967,           0.0016379,             0.87626,             0.87727,             0.90405,             0.81825,           0.0088939,           0.0060852,             0.01196,            0.000694,            0.000694,            0.000694
                  96,           0.0086641,            0.007784,           0.0015673,             0.89734,             0.85625,             0.90072,             0.81374,           0.0088158,           0.0061422,            0.012312,            0.000595,            0.000595,            0.000595
                  97,            0.009058,           0.0079454,           0.0015606,             0.84364,             0.91182,             0.90435,             0.81699,           0.0089582,           0.0061583,            0.012437,            0.000496,            0.000496,            0.000496
                  98,           0.0090606,             0.00791,           0.0020339,             0.87049,             0.91827,             0.90539,             0.82654,           0.0088704,           0.0061522,            0.011775,            0.000397,            0.000397,            0.000397
                  99,           0.0089352,           0.0077232,           0.0019073,             0.86305,             0.88976,             0.90369,             0.81839,           0.0088412,           0.0062008,            0.012251,            0.000298,            0.000298,            0.000298
